length,binset,gamma,n_cells,macro_f1_mean,macro_f1_std_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,m_dim
100,2_3,2.0,4,0.9719672392368195,0.01229416061893612,-0.039388298736370946,0.7434758138959592,25.0
100,2_3_4,0.0,4,0.9479317166020412,0.018728558587809502,-0.06905350177072693,0.7395354426806677,45.0
100,2_3_4,0.25,4,0.9754804225525493,0.008750418862808904,-0.06798271888403032,0.7396150538482944,45.0
100,2_3_4,0.5,4,0.9754804225525493,0.008750418862808904,-0.06504122895621119,0.7398536875222321,45.0
100,2_3_4,1.0,4,0.9754804225525493,0.008750418862808904,-0.056164061254630165,0.740805238838516,45.0
100,2_3_4,2.0,4,0.9754804225525493,0.008750418862808904,-0.03925710470391565,0.7445645741871114,45.0
100,2_3_4_6,0.0,4,0.9479317166020412,0.018728558587809502,-0.06905350177072692,0.7395354426806677,75.0
100,2_3_4_6,0.25,4,0.9819909938151059,0.00632787526182494,-0.06797657394881293,0.7396449837049871,75.0
100,2_3_4_6,0.5,4,0.9819909938151059,0.00632787526182494,-0.06501773169504717,0.7399732028109494,75.0
100,2_3_4_6,1.0,4,0.9819909938151059,0.00632787526182494,-0.05608315945707759,0.7412800611299667,75.0
100,2_3_4_6,2.0,4,0.9819909938151059,0.00632787526182494,-0.0390336900822254,0.7464137229999035,75.0
150,2,0.0,4,0.9804746869246488,0.012910813484946937,-0.07190931636460748,0.6793537144906687,10.0
150,2,0.25,4,0.9834784923529799,0.010530147724807634,-0.07080248784709918,0.6794029062259792,10.0
150,2,0.5,4,0.9834784923529799,0.010530147724807634,-0.06776726676946211,0.67952867621025,10.0
150,2,1.0,4,0.9834784923529799,0.010530147724807634,-0.05861971061682342,0.6800092101283108,10.0
150,2,2.0,4,0.9834784923529799,0.010530147724807634,-0.041263660816306204,0.6818753334973796,10.0
150,2_3,0.0,4,0.9804746869246488,0.012910813484946937,-0.07190931636460748,0.6793537144906687,25.0
150,2_3,0.25,4,0.9899911827596131,0.010297140826624473,-0.07080106354223052,0.6794127051967094,25.0
150,2_3,0.5,4,0.9899911827596131,0.010297140826624473,-0.0677601163092029,0.6795758195111073,25.0
150,2_3,1.0,4,0.9899911827596131,0.010297140826624473,-0.05859209656801327,0.6802130121670112,25.0
150,2_3,2.0,4,0.9899911827596131,0.010297140826624473,-0.04118256269658572,0.6827105708122574,25.0
150,2_3_4,0.0,4,0.9804746869246488,0.012910813484946937,-0.07190931636460748,0.6793537144906687,45.0
150,2_3_4,0.25,4,0.9899959971976781,0.00971708564758833,-0.07079706313073748,0.6794344785646885,45.0
150,2_3_4,0.5,4,0.9899959971976781,0.00971708564758833,-0.06774675655088534,0.6796536908344637,45.0
150,2_3_4,1.0,4,0.9899959971976781,0.00971708564758833,-0.058549302624638325,0.6805052928397272,45.0
150,2_3_4,2.0,4,0.9899959971976781,0.00971708564758833,-0.041067445330558915,0.683829386032468,45.0
150,2_3_4_6,0.0,4,0.9804746869246488,0.012910813484946937,-0.07190931636460748,0.6793537144906687,75.0
150,2_3_4_6,0.25,4,0.9944979485938386,0.006367662390323592,-0.07079192963526992,0.6794639500361367,75.0
150,2_3_4_6,0.5,4,0.9944979485938386,0.006367662390323592,-0.06772856427182611,0.6797646445229282,75.0
150,2_3_4_6,1.0,4,0.9944979485938386,0.006367662390323592,-0.0584891264793968,0.6809330036011765,75.0
150,2_3_4_6,2.0,4,0.9944979485938386,0.006367662390323592,-0.04090455088814608,0.6854735293603611,75.0
